Designator,Mid X,Mid Y,Rotation,Layer
C1,224.975,-127.025,0.0,top
C10,212.075,-107.625,0.0,top
C11,208.275,-124.625,0.0,top
C12,219.975,-127.025,0.0,top
C13,211.975,-127.025,0.0,top
C14,256.8,-116.9,180.0,top
C15,171.025,-111.2,0.0,top
C16,118.0,-118.028382,270.0,top
C17,118.0,-115.028382,90.0,top
C18,115.7,-114.228382,0.0,top
C19,109.7,-115.528382,270.0,top
C2,224.975,-125.425,0.0,top
C20,117.9,-123.328382,180.0,top
C21,109.7,-123.328382,0.0,top
C22,131.5,-118.028382,270.0,top
C23,131.5,-115.028382,90.0,top
C24,129.2,-114.228382,0.0,top
C25,123.3,-115.853382,270.0,top
C26,123.2,-123.328382,0.0,top
C27,131.4,-123.328382,180.0,top
C28,298.4,-118.028382,270.0,top
C29,299.2,-115.7,0.0,top
C3,213.9,-130.675,270.0,top
C30,296.1,-114.228382,0.0,top
C31,290.2,-115.728382,270.0,top
C32,298.3,-123.328382,180.0,top
C33,290.1,-123.328382,0.0,top
C34,311.9,-117.7,270.0,top
C35,311.9,-114.7,90.0,top
C36,309.9,-113.5,270.0,top
C37,303.8,-117.4,90.0,top
C38,303.6,-123.325,0.0,top
C39,311.8,-123.325,180.0,top
C4,226.575,-110.725,90.0,top
C40,90.1,-115.375,90.0,top
C41,91.7,-115.375,90.0,top
C42,151.4,-111.75,270.0,top
C43,149.8,-111.75,270.0,top
C44,273.05,-115.025,90.0,top
C45,274.65,-115.025,90.0,top
C46,329.2,-112.55,270.0,top
C47,327.6,-112.55,270.0,top
C48,91.6,-122.175,90.0,top
C49,149.2,-121.975,270.0,top
C5,215.075,-127.025,0.0,top
C50,272.2,-120.8,90.0,top
C51,329.6,-122.4,270.0,top
C52,76.405,-105.475,270.0,top
C53,190.0,-117.7,180.0,top
C54,190.0,-120.1,180.0,top
C55,190.0,-122.1,180.0,top
C56,192.8,-126.0,0.0,top
C57,198.575,-131.7,180.0,top
C58,184.9,-125.575,90.0,top
C59,198.65,-137.4,180.0,top
C6,216.375,-133.0,180.0,top
C60,188.8,-134.75,180.0,top
C61,188.8,-136.85,180.0,top
C62,208.75,-136.34,270.0,top
C63,361.8,-136.2,270.0,top
C64,329.4,-129.0,270.0,top
C65,361.8,-129.2,270.0,top
C66,329.4,-136.0,270.0,top
C67,361.8,-122.175,270.0,top
C68,272.4,-136.0,270.0,top
C69,361.8,-115.2,270.0,top
C7,209.775,-108.5,270.0,top
C70,272.4,-129.0,270.0,top
C71,59.4,-135.8,270.0,top
C72,149.0,-136.0,270.0,top
C73,59.4,-128.8,270.0,top
C74,149.0,-129.0,270.0,top
C75,59.4,-121.8,270.0,top
C76,92.0,-136.0,270.0,top
C77,59.4,-114.8,270.0,top
C78,92.0,-129.0,270.0,top
C79,345.9,-105.05,270.0,top
C8,228.075,-110.725,270.0,top
C80,391.3,-113.975,270.0,top
C82,335.989234,-105.152734,270.0,top
C9,219.95,-128.525,0.0,top
D1,240.2125,-137.1,0.0,top
D10,389.95,-130.3,180.0,top
D15,363.4,-136.2,270.0,top
D16,326.2,-129.0,270.0,top
D17,363.4,-129.2,270.0,top
D18,326.2,-136.0,270.0,top
D19,363.4,-122.2,270.0,top
D2,240.2125,-133.5,0.0,top
D20,275.6,-136.0,270.0,top
D21,363.4,-115.2,270.0,top
D22,275.6,-129.0,270.0,top
D23,56.2,-135.8,270.0,top
D24,145.8,-136.0,270.0,top
D25,56.2,-128.8,270.0,top
D26,145.8,-129.0,270.0,top
D27,56.2,-121.8,270.0,top
D28,95.2,-136.0,270.0,top
D29,56.2,-114.8,270.0,top
D3,240.2125,-131.4,0.0,top
D30,95.2,-129.0,270.0,top
D32,338.789234,-104.952734,180.0,top
D4,240.2125,-129.3,0.0,top
D5,364.0125,-108.7,180.0,top
D6,384.5,-129.1875,270.0,top
D7,385.1,-121.75,270.0,top
D9,384.5,-136.1875,270.0,top
F1,40.2,-113.0,270.0,top
J10,307.65,-135.0,180.0,top
J11,100.25,-114.0,0.0,top
J12,140.75,-114.0,0.0,top
J13,283.15,-114.0,0.0,top
J14,318.55,-114.0,0.0,top
J15,101.5,-121.0,180.0,top
J16,139.5,-121.0,180.0,top
J17,281.9,-121.0,180.0,top
J18,319.8,-121.0,180.0,top
J19,64.005,-105.27,90.0,top
J20,380.5,-104.15,0.0,top
J21,49.5,-104.15,0.0,top
J23,369.7,-134.0,0.0,top
J24,319.8,-128.0,180.0,top
J25,369.7,-127.0,0.0,top
J26,319.8,-135.0,180.0,top
J27,369.7,-120.0,0.0,top
J28,281.9,-135.0,180.0,top
J29,369.7,-113.0,0.0,top
J30,281.9,-128.0,180.0,top
J31,49.9,-134.0,0.0,top
J32,139.5,-135.0,180.0,top
J33,49.9,-127.0,0.0,top
J34,139.5,-128.0,180.0,top
J35,49.9,-120.0,0.0,top
J36,101.5,-135.0,180.0,top
J37,49.9,-113.0,0.0,top
J38,101.5,-128.0,180.0,top
J39,369.8,-104.07,270.0,top
J40,380.7,-113.0,0.0,top
J41,379.45,-127.0,180.0,top
J42,237.45,-125.4,180.0,top
J44,379.45,-134.0,180.0,top
J50,379.45,-120.0,180.0,top
J6,237.45,-120.8,180.0,top
J7,113.75,-135.0,180.0,top
J8,127.25,-135.0,180.0,top
J9,294.15,-135.0,180.0,top
L1,191.5,-130.1,270.0,top
Q1,358.19,-105.0,270.0,top
Q2,389.1625,-120.05,0.0,top
Q4,389.8375,-125.2,0.0,top
R1,237.1125,-137.1,0.0,top
R10,303.6,-126.125,180.0,top
R100,126.2,-114.228382,0.0,top
R101,293.1,-114.228382,0.0,top
R102,307.6,-114.2,0.0,top
R103,117.1,-112.628382,0.0,top
R104,130.7,-112.628382,0.0,top
R105,296.1,-112.7,0.0,top
R106,309.2,-111.2,0.0,top
R107,185.6,-129.5,0.0,top
R108,343.189234,-107.352734,270.0,top
R109,339.189234,-107.552734,0.0,top
R11,311.8,-126.125,0.0,top
R110,341.589234,-107.377734,90.0,top
R12,66.605,-103.675,270.0,top
R13,200.675,-128.1,90.0,top
R14,202.175,-128.1,270.0,top
R15,184.9,-122.325,90.0,top
R16,182.6,-123.4,0.0,top
R17,197.375,-125.9,180.0,top
R18,237.1125,-133.5,180.0,top
R19,182.6,-126.375,0.0,top
R2,231.8,-124.175,270.0,top
R20,343.8,-103.4,270.0,top
R21,181.9,-128.7,90.0,top
R22,182.6,-124.875,0.0,top
R23,186.4,-125.575,270.0,top
R24,237.1125,-131.4,0.0,top
R25,237.1125,-129.3,0.0,top
R26,87.8,-113.6,90.0,top
R27,154.0,-112.0,270.0,top
R28,216.05,-136.44,270.0,top
R29,362.6,-133.8,180.0,top
R3,230.2,-124.175,270.0,top
R30,346.6,-116.6,270.0,top
R31,327.8,-129.0,90.0,top
R32,331.0,-129.0,270.0,top
R33,362.6,-126.8,180.0,top
R34,343.4,-116.6,270.0,top
R35,327.8,-136.0,90.0,top
R36,331.0,-136.0,270.0,top
R37,362.6,-119.8,180.0,top
R38,341.8,-115.6,270.0,top
R39,274.0,-136.0,90.0,top
R4,109.7,-126.128382,180.0,top
R40,270.8,-136.0,270.0,top
R41,362.6,-112.8,180.0,top
R42,337.0,-115.6,270.0,top
R43,274.0,-129.0,90.0,top
R44,270.8,-129.0,270.0,top
R45,57.8,-135.8,90.0,top
R46,61.0,-135.8,270.0,top
R47,147.4,-136.0,90.0,top
R48,150.6,-136.0,270.0,top
R49,57.8,-128.8,90.0,top
R5,117.9,-126.128382,0.0,top
R50,61.0,-128.8,270.0,top
R51,147.4,-129.0,90.0,top
R52,150.6,-129.0,270.0,top
R53,57.8,-121.8,90.0,top
R54,61.0,-121.8,90.0,top
R55,93.6,-136.0,90.0,top
R56,90.4,-136.0,270.0,top
R57,57.8,-114.8,90.0,top
R58,61.0,-114.8,270.0,top
R59,93.6,-129.0,90.0,top
R6,123.2,-126.128382,180.0,top
R60,90.4,-129.0,270.0,top
R61,360.875,-108.7,0.0,top
R62,351.225,-105.8,0.0,top
R63,351.225,-104.2,180.0,top
R64,386.1,-129.175,90.0,top
R65,390.575,-122.6,0.0,top
R66,391.9,-120.125,90.0,top
R67,271.4,-114.2,90.0,top
R68,329.0,-109.8,0.0,top
R7,131.4,-126.128382,0.0,top
R70,386.0,-136.175,90.0,top
R71,391.575,-127.8,180.0,top
R72,392.5,-125.225,90.0,top
R79,348.2,-116.6,90.0,top
R8,290.1,-126.128382,180.0,top
R80,330.2,-126.6,180.0,top
R81,345.0,-116.6,90.0,top
R82,330.2,-133.6,180.0,top
R83,340.2,-115.6,90.0,top
R84,271.6,-133.6,0.0,top
R85,338.6,-115.6,90.0,top
R86,271.6,-126.6,0.0,top
R87,61.0,-132.8,270.0,top
R88,149.8,-133.6,180.0,top
R89,61.0,-125.8,270.0,top
R9,298.3,-126.128382,0.0,top
R90,149.8,-126.6,180.0,top
R91,61.0,-118.8,90.0,top
R92,91.2,-133.6,0.0,top
R93,61.0,-111.6,270.0,top
R94,91.2,-126.6,0.0,top
R95,112.7,-112.728382,180.0,top
R96,126.2,-112.728382,180.0,top
R97,293.1,-112.728382,180.0,top
R98,307.6,-112.7,180.0,top
R99,112.7,-114.228382,0.0,top
RN1,252.8,-115.6,270.0,top
RN2,256.075,-112.775,270.0,top
RN3,175.3,-112.4,90.0,top
RN4,171.7,-115.8,90.0,top
SW1,204.95,-136.44,180.0,top
SW2,212.5,-136.44,180.0,top
U1,217.1,-117.325,0.0,top
U10,273.8,-112.2,180.0,top
U11,328.4,-115.35,0.0,top
U12,94.25,-122.25,180.0,top
U13,146.75,-122.05,0.0,top
U14,274.6,-120.8,180.0,top
U15,327.15,-122.45,0.0,top
U16,71.805,-105.475,90.0,top
U17,198.625,-128.06,90.0,top
U18,189.27,-124.79,0.0,top
U19,198.475,-134.5,90.0,top
U2,262.4,-114.2,90.0,top
U20,230.95,-127.45,90.0,top
U21,348.1,-104.95,90.0,top
U22,388.25,-114.125,0.0,top
U23,57.05,-105.35,180.0,top
U3,165.4,-114.2,270.0,top
U4,113.9,-118.390882,270.0,top
U5,127.4,-118.390882,270.0,top
U6,294.3,-118.390882,270.0,top
U7,307.8,-118.3875,270.0,top
U8,90.95,-112.55,180.0,top
U9,150.55,-114.6,0.0,top
Y1,216.45,-130.1,90.0,top
